"ZT","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1"
60,34.9,13.381,50.9,19.567,36.058,13.851,43.1229999999999,35.668,15.0659999999999,42.141,57.504,9.74000000000001,17.99,43.645,13.999,40.23,29.539,33.117,21.284,33.7569999999999,32.3829999999999,27.658,50.9789999999999,30.9,10.7569999999999,17.851,26.7669999999999,21.284,47.982,17.665,32.1519999999999,30.442
62,31.7176666666667,12.8906666666667,44.2926666666667,18.6526666666666,34.3166666666667,13.7426666666667,40.4936666666666,32.4066666666666,14.6496666666667,37.6166666666667,50.5726666666667,9.33066666666673,16.8036666666667,38.9516666666667,14.7156666666667,36.5826666666667,28.5686666666667,28.8816666666667,19.8976666666666,33.5616666666667,29.8126666666667,24.4506666666666,46.7046666666666,28.7446666666667,9.98266666666666,15.2166666666667,23.8176666666667,19.7416666666667,44.9016666666666,14.5286666666667,30.2516666666667,28.3796666666667
64,27.971,12.072,38.927,17.737,32.801,13.228,37.21,29.49,13.966,33.986,45.747,9.53399999999999,16.346,35.752,14.79,32.942,31.066,25.1559999999999,18.766,34.337,27.646,22.0309999999999,44.509,28.963,8.78099999999995,13.799,21.2,17.756,44.1950000000001,12.915,25.8920000000001,27.64
66,24.674,11.496,34.448,16.819,28.603,12.9929999999999,34.4409999999999,25.002,12.985,31.0699999999999,41.842,9.56700000000001,14.794,32.836,14.764,30.415,31.2339999999999,22.091,16.3869999999999,29.202,23.986,19.27,41.4929999999999,26.62,7.75699999999995,13.571,18.6899999999999,15.324,40.342,11.679,24.925,26.39
68,22.5296666666667,11.2986666666667,34.2496666666667,16.4736666666666,26.3836666666666,12.3416666666667,32.4346666666667,21.9726666666667,11.9786666666666,29.9606666666666,43.5946666666666,10.6256666666667,13.3226666666667,30.3776666666666,13.9936666666666,28.3316666666667,32.2576666666666,19.9956666666667,15.7586666666666,25.6346666666667,23.7546666666667,16.8176666666667,41.0186666666667,24.6836666666667,6.90366666666671,14.9336666666667,17.3346666666666,13.6816666666666,39.6656666666667,12.4186666666667,25.5156666666667,24.4176666666667
70,23.7616666666667,10.8716666666667,44.7716666666666,17.9526666666667,28.6896666666667,12.2096666666666,32.8286666666667,21.7166666666667,11.3166666666666,38.1216666666667,58.4296666666667,10.9076666666666,12.2286666666666,30.9506666666666,13.8516666666667,26.7256666666666,32.3676666666667,21.6636666666667,18.1566666666666,27.0076666666666,30.7456666666667,18.0876666666667,45.0216666666666,24.5046666666667,6.84266666666667,22.1516666666666,16.5596666666667,12.1596666666667,49.6986666666667,17.0656666666666,34.9456666666666,24.9636666666667
72,32.621,12.5550000000001,67.12,23.804,34.4830000000001,13.974,38.152,26.011,11.403,53.4930000000001,85.862,11.348,12.22,38.715,15.3050000000001,31.157,36.963,30.63,19.926,36.888,44.835,25.331,58.643,30.12,8.28600000000006,37.3340000000001,18.09,12.409,74.059,27.063,53.542,31.731
74,46.2323333333334,14.6833333333334,90.3473333333334,28.9393333333334,43.5393333333334,17.2383333333333,47.1153333333334,32.1793333333334,12.2493333333334,74.8843333333334,115.217333333333,11.9423333333334,12.8473333333334,50.2313333333334,16.6903333333333,36.7743333333334,44.5563333333333,45.9663333333334,23.1653333333334,48.2863333333333,59.6673333333334,38.9723333333334,76.6363333333334,39.8303333333333,9.96833333333336,48.9683333333334,21.9623333333334,13.3403333333333,96.2523333333334,36.1123333333334,67.6773333333334,43.5923333333334
76,59.5353333333334,17.8033333333334,101.271333333333,33.3903333333334,54.6233333333333,21.7523333333334,57.1123333333334,38.7703333333334,17.7683333333333,89.8393333333333,123.357333333333,14.1363333333334,15.0973333333334,63.7543333333333,18.8593333333333,46.9853333333333,52.0773333333334,61.0673333333333,29.3023333333333,68.9243333333334,64.7373333333334,50.1473333333333,92.1923333333333,54.1343333333333,12.3633333333333,49.7673333333333,29.7233333333334,15.0893333333333,99.0123333333333,33.0843333333333,71.7063333333333,55.2053333333333
78,65.3616666666667,20.8126666666667,97.9316666666666,36.6396666666667,55.4416666666666,25.8406666666666,64.3266666666667,43.6796666666667,21.9216666666666,90.7326666666667,114.973666666667,16.6096666666666,18.2626666666666,72.0146666666667,21.6296666666667,60.2896666666667,54.8946666666667,66.3796666666667,31.9766666666667,81.4156666666667,62.1916666666666,52.1386666666666,96.9686666666666,61.8006666666666,14.3846666666667,45.0576666666667,34.5756666666666,18.5786666666667,91.6216666666667,32.1026666666667,66.0386666666667,60.5886666666667
80,59.361,22.802,90.354,37.114,51.548,26.878,63.693,43.95,24.1950000000001,81.2670000000001,101.043,16.0730000000001,22.1030000000001,72.7700000000001,24.4630000000001,68.7230000000001,52.389,59.955,32.793,77.264,54.2520000000001,47.375,90.379,61.586,14.789,37.7430000000001,38.663,21.902,78.015,27.5780000000001,56.047,56.5540000000001
82,52.1180000000001,23.1370000000001,77.426,36.01,49.599,25.897,59.428,42.255,24.683,68.652,85.724,15.942,23.6890000000001,68.154,27.3330000000001,70.46,49.98,49.0830000000001,31.654,69.499,46.119,41.172,78.9200000000001,59.152,14.826,32.782,37.8390000000001,22.998,65.951,23.7280000000001,48.015,49.568
84,46.0463333333333,22.3623333333334,67.8003333333334,34.1903333333333,48.5023333333334,24.5563333333333,54.7763333333334,40.0923333333334,24.2863333333333,60.5253333333334,75.8103333333333,15.8543333333333,23.0823333333334,60.7193333333333,28.7433333333333,65.7593333333334,47.6783333333334,40.6073333333334,29.6183333333333,62.7913333333333,40.9513333333334,36.3403333333334,68.5793333333334,54.4573333333334,13.4923333333334,28.3583333333333,35.0493333333334,23.0863333333334,58.0763333333334,21.3243333333334,41.3403333333334,42.7153333333334
86,41.6123333333333,22.0003333333333,61.4843333333333,32.3113333333333,46.9223333333333,23.4043333333333,50.4493333333332,38.2743333333333,23.0283333333333,54.2793333333333,65.6253333333333,14.4043333333333,21.5973333333333,52.4763333333333,27.7383333333332,57.7363333333333,44.8303333333333,35.1383333333333,27.9243333333333,58.7923333333333,36.5133333333333,32.8763333333333,60.3603333333333,50.3963333333332,12.9423333333333,26.6793333333333,33.2823333333333,22.0713333333333,51.3003333333332,19.2963333333332,38.9073333333333,37.0613333333333
88,36.5426666666666,21.0326666666666,55.0156666666667,30.5186666666666,48.2166666666666,21.8016666666666,47.2106666666666,39.1396666666666,21.3336666666667,49.1136666666666,57.6016666666667,13.7756666666667,19.7026666666667,45.8826666666666,25.9746666666666,55.5466666666666,41.8916666666667,31.9216666666666,25.0846666666666,55.0416666666666,33.0076666666666,26.9086666666666,52.3736666666666,46.1476666666666,12.1636666666666,24.7636666666666,31.4086666666666,20.0056666666667,43.9866666666667,18.1996666666666,34.9276666666666,33.7786666666666
90,32.859,20.0069999999999,49.115,27.852,42.235,20.5,43.056,35.335,19.1,44.409,53.2329999999999,13.754,17.026,41.622,24.178,53.12,38.264,28.338,22.26,49.399,30.525,25.4059999999999,47.896,43.472,11.058,22.769,30.025,18.042,40.6319999999999,17.203,35.1950000000001,31.4880000000001
92,29.4163333333333,19.2963333333333,47.9813333333334,26.3013333333333,38.4373333333334,19.3793333333333,39.8693333333333,33.4313333333333,18.5253333333334,47.0523333333333,62.9323333333333,13.3733333333333,15.9883333333333,40.8343333333333,23.3053333333334,49.5353333333334,36.4063333333334,27.3013333333333,20.9043333333334,47.1073333333334,34.5033333333333,23.5493333333334,48.9523333333334,42.5723333333334,10.7293333333333,25.8723333333334,28.3553333333333,16.9353333333333,47.1053333333333,19.6233333333333,39.1753333333334,29.5923333333334
94,30.626,19.588,55.8969999999999,27.3,41.0519999999999,19.3869999999999,37.766,32.6189999999999,18.264,61.432,90.5,13.039,15.949,45.0849999999999,22.843,47.98,37.203,32.663,21.0319999999999,52.217,49.357,29.9259999999999,62.466,44.408,11.375,37.304,28.812,16.122,73.0029999999999,29.1189999999999,54.0369999999999,29.942
96,37.3756666666667,20.8256666666667,72.1776666666667,30.5126666666667,48.0236666666667,21.2446666666667,39.0276666666667,33.8096666666667,19.1246666666667,86.6226666666668,129.989666666667,13.5656666666667,16.1306666666667,59.6246666666667,23.3876666666667,53.2536666666667,42.1936666666667,49.2236666666668,24.7886666666667,69.2566666666667,74.2876666666667,44.7266666666667,89.8016666666667,51.5026666666668,12.7216666666667,57.0466666666667,36.0726666666667,16.3956666666667,112.490666666667,39.3066666666667,76.0176666666667,35.6746666666667
98,50.9906666666667,24.0206666666667,92.3356666666667,35.3426666666667,56.8546666666667,27.8926666666666,46.3156666666666,38.3396666666666,22.7526666666666,111.014666666667,163.015666666667,15.0316666666666,18.6406666666667,84.5196666666667,25.5426666666667,70.0166666666667,49.4336666666667,72.0486666666667,32.2506666666667,94.4166666666666,96.6776666666667,66.9586666666667,125.169666666667,62.4356666666666,16.3686666666666,70.2456666666667,44.7366666666667,17.7236666666666,143.570666666667,49.6546666666667,97.6606666666667,48.8226666666667
100,64.1826666666667,27.5466666666666,105.588666666667,39.7756666666667,66.3426666666667,35.6066666666667,55.6976666666667,44.7276666666667,28.6146666666667,117.035666666667,164.540666666667,16.4416666666667,21.2936666666667,105.616666666667,28.8126666666667,89.9976666666666,56.4466666666667,86.2626666666666,40.5126666666666,115.988666666667,101.239666666667,75.7186666666666,145.509666666667,72.7006666666666,20.6246666666667,69.5876666666667,60.0996666666666,21.1986666666667,142.626666666667,48.0716666666667,105.516666666667,62.1756666666666
102,68.6986666666667,29.6406666666667,107.898666666667,42.4226666666667,61.4886666666667,42.3336666666668,62.0546666666667,48.3586666666667,35.8246666666668,111.350666666667,146.361666666667,19.5506666666668,25.0826666666667,112.972666666667,34.8036666666667,102.651666666667,60.0716666666667,86.7756666666667,45.2046666666668,120.511666666667,94.7086666666668,74.0846666666667,146.475666666667,78.4026666666667,22.7076666666667,62.0986666666668,69.8316666666667,25.1666666666667,117.873666666667,43.5796666666668,96.8716666666667,68.7776666666667
104,67.222,29.513,104.192,41.349,59.062,42.865,62.78,50.086,42.331,98.724,127.572,21.239,29.293,108.325,39.985,104.039,61.697,76.832,45.995,111.158,80.397,66.957,133.21,78.586,23.21,53.381,71.7470000000001,28.8380000000001,94.11,37.643,82.236,67.02
106,62.3036666666667,28.6006666666667,98.9286666666667,39.8356666666667,58.3396666666666,39.8326666666667,59.6226666666666,50.6006666666667,43.7506666666667,86.7526666666666,111.729666666667,24.3566666666667,32.6386666666667,96.6896666666667,45.9576666666667,94.4156666666667,62.8966666666666,63.9606666666667,43.8116666666667,95.3566666666667,67.5396666666667,57.8836666666667,112.741666666667,74.3176666666667,22.4066666666666,46.2216666666667,67.9906666666667,31.5656666666666,77.6686666666667,32.6256666666667,70.4526666666667,62.0706666666667
108,58.9403333333333,27.1153333333333,94.4733333333334,38.5833333333333,56.3183333333333,35.5323333333333,57.3223333333333,52.9293333333333,43.0223333333333,80.8193333333334,98.9903333333333,26.2353333333333,35.1503333333333,82.4843333333333,48.8963333333334,81.8363333333333,64.6943333333334,56.5333333333333,39.8473333333333,84.7193333333333,57.7653333333333,49.6333333333333,96.4183333333333,67.2793333333333,20.9163333333333,42.7943333333333,60.4483333333333,31.9373333333333,68.4753333333333,30.4973333333334,63.4353333333333,58.5393333333333
110,54.9886666666666,25.4506666666666,90.0006666666667,36.7386666666666,53.3176666666667,32.3006666666666,53.7436666666666,55.7796666666667,38.9706666666667,77.7086666666667,86.4276666666667,25.5386666666667,33.6906666666666,68.3316666666667,46.0166666666667,70.3756666666667,63.0526666666667,50.2426666666667,35.8256666666666,74.7696666666667,51.0146666666667,43.3776666666666,82.8276666666667,61.6086666666666,20.2086666666667,38.3516666666667,53.5386666666667,30.2936666666667,60.3856666666667,28.2456666666667,57.0146666666667,54.7966666666666
112,52.0393333333334,24.9253333333334,85.9593333333333,34.1263333333334,49.5953333333333,29.3453333333333,50.5443333333334,58.8333333333334,34.0323333333333,71.0703333333333,78.4853333333333,23.6193333333333,31.4073333333333,58.2043333333334,40.2713333333334,61.6703333333334,59.7033333333334,44.7143333333333,31.3333333333334,66.0903333333333,47.5613333333333,36.0053333333334,70.7283333333334,56.7213333333333,18.1873333333333,36.1783333333334,48.8163333333333,27.8063333333333,55.0323333333333,26.0483333333334,51.0543333333334,52.2663333333334
114,49.1593333333333,25.1473333333333,81.1963333333333,32.8883333333333,46.3273333333333,28.7083333333334,48.4973333333334,61.7433333333333,28.9963333333333,65.0903333333333,78.8103333333333,22.7813333333334,29.2013333333333,50.1863333333333,35.1893333333334,54.5583333333333,56.1263333333333,41.6323333333333,27.2303333333333,59.1643333333333,49.2083333333334,33.9973333333334,64.3303333333333,53.7623333333333,17.4333333333333,36.6813333333333,46.3473333333333,25.3383333333334,57.0353333333334,26.6233333333333,51.7103333333333,49.6513333333334
116,44.9626666666667,24.4686666666666,76.9566666666667,31.4836666666667,42.8826666666668,26.3576666666667,45.7606666666667,60.6006666666667,24.3606666666667,66.1836666666667,93.5636666666667,21.7306666666667,27.5276666666667,49.3176666666667,31.2456666666667,49.4906666666667,53.7136666666667,42.1496666666667,24.2656666666667,57.2406666666667,58.1046666666667,35.6906666666667,68.6426666666667,51.4036666666667,16.5616666666667,44.0686666666667,45.3746666666667,23.9336666666667,75.0926666666667,30.3816666666667,57.1106666666667,46.6006666666667
118,44.1826666666666,25.0546666666667,80.1116666666667,31.6986666666667,42.6096666666666,26.9816666666666,43.8946666666666,60.8176666666666,22.3536666666666,83.9946666666666,128.742666666667,22.5786666666667,27.2916666666666,61.9626666666667,30.9096666666666,48.0076666666666,53.5476666666666,54.6326666666666,24.5246666666666,70.0656666666666,82.7626666666666,49.2626666666666,93.5616666666666,52.5956666666666,17.1566666666666,65.1976666666666,46.9476666666666,23.6056666666666,118.790666666667,43.6296666666666,79.5406666666667,44.9506666666666
120,47.9683333333334,27.6383333333334,93.5123333333333,34.3043333333334,45.6723333333334,29.9783333333334,43.8073333333334,62.9773333333334,23.3353333333334,116.411333333333,161.121333333333,25.5853333333334,28.6363333333334,86.4243333333334,33.0923333333334,52.9453333333333,57.0053333333334,80.6183333333333,31.2313333333334,98.0943333333333,115.277333333333,74.7543333333334,134.914333333333,59.1613333333333,19.4853333333334,89.2623333333333,56.0843333333333,26.0153333333334,169.815333333333,59.4853333333334,112.183333333333,48.4973333333334
